neighborhood,group_name,type,website,contact_email,description
Alamo Square,Alamo Square Neighborhood Association,Association,https://example.org/alamosquare-neighborhood,info@alamosquarecommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Alamo Square."
Alamo Square,Friends of Alamo Square,Community Group,https://example.org/friends-of-alamosquare,hello@friendsofalamosquare.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Alamo Square."
Anza Vista,Anza Vista Neighborhood Association,Association,https://example.org/anzavista-neighborhood,info@anzavistacommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Anza Vista."
Anza Vista,Friends of Anza Vista,Community Group,https://example.org/friends-of-anzavista,hello@friendsofanzavista.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Anza Vista."
Apparel City,Apparel City Neighborhood Association,Association,https://example.org/apparelcity-neighborhood,info@apparelcitycommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Apparel City."
Apparel City,Friends of Apparel City,Community Group,https://example.org/friends-of-apparelcity,hello@friendsofapparelcity.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Apparel City."
Aquatic Park / Ft. Mason,Aquatic Park / Ft. Mason Neighborhood Association,Association,https://example.org/aquaticparkftmason-neighborhood,info@aquaticparkftmasoncommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Aquatic Park / Ft. Mason."
Aquatic Park / Ft. Mason,Friends of Aquatic Park / Ft. Mason,Community Group,https://example.org/friends-of-aquaticparkftmason,hello@friendsofaquaticparkftmason.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Aquatic Park / Ft. Mason."
Ashbury Heights,Ashbury Heights Neighborhood Association,Association,https://example.org/ashburyheights-neighborhood,info@ashburyheightscommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Ashbury Heights."
Ashbury Heights,Friends of Ashbury Heights,Community Group,https://example.org/friends-of-ashburyheights,hello@friendsofashburyheights.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Ashbury Heights."
Balboa Terrace,Balboa Terrace Neighborhood Association,Association,https://example.org/balboaterrace-neighborhood,info@balboaterracecommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Balboa Terrace."
Balboa Terrace,Friends of Balboa Terrace,Community Group,https://example.org/friends-of-balboaterrace,hello@friendsofbalboaterrace.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Balboa Terrace."
Bayview,Bayview Neighborhood Association,Association,https://example.org/bayview-assoc,info@bayviewassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Bayview."
Bayview,Bayview Merchants & Business Alliance,Business Group,https://example.org/bayview-merchants,contact@bayviewmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Bayview."
Bernal Heights,Bernal Heights Neighborhood Association,Association,https://example.org/bernalheights-assoc,info@bernalheightsassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Bernal Heights."
Bernal Heights,Bernal Heights Merchants & Business Alliance,Business Group,https://example.org/bernalheights-merchants,contact@bernalheightsmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Bernal Heights."
Bernal Heights,Bernal Heights Outdoor Cinema Crew,Group,https://example.org/bernalcinema,cinema@bernalheights.org,"Organizing annual free outdoor film screenings highlighting local filmmakers and community gathering."
Bernal Heights,Bernal Heights Neighborhood Center (BHNC),Community Center,https://example.org/bhnc,info@bhnc.org,"Providing affordable housing, youth programs, and senior services to strengthen Bernal Heights community."
Bret Harte,Bret Harte Neighborhood Association,Association,https://example.org/bretharte-neighborhood,info@brethartecommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Bret Harte."
Bret Harte,Friends of Bret Harte,Community Group,https://example.org/friends-of-bretharte,hello@friendsofbretharte.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Bret Harte."
Buena Vista,Buena Vista Neighborhood Association,Association,https://example.org/buenavista-neighborhood,info@buenavistacommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Buena Vista."
Buena Vista,Friends of Buena Vista,Community Group,https://example.org/friends-of-buenavista,hello@friendsofbuenavista.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Buena Vista."
Candlestick Point SRA,Candlestick Point SRA Neighborhood Association,Association,https://example.org/candlestickpointsra-neighborhood,info@candlestickpointsracommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Candlestick Point SRA."
Candlestick Point SRA,Friends of Candlestick Point SRA,Community Group,https://example.org/friends-of-candlestickpointsra,hello@friendsofcandlestickpointsra.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Candlestick Point SRA."
Castro,Castro Upper Market Neighborhood Association,Association,https://example.org/castrouppermarket-assoc,info@castrouppermarketassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Castro."
Castro,Castro Upper Market Merchants & Business Alliance,Business Group,https://example.org/castrouppermarket-merchants,contact@castrouppermarketmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Castro."
Castro,Castro LGBTQ Cultural District Committee,Cultural Alliance,https://example.org/castrodistrict,hello@castrocd.org,"Celebrating and preserving LGBTQ history, culture, and community assets in the Castro neighborhood."
Cathedral Hill,Cathedral Hill Neighborhood Association,Association,https://example.org/cathedralhill-neighborhood,info@cathedralhillcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Cathedral Hill."
Cathedral Hill,Friends of Cathedral Hill,Community Group,https://example.org/friends-of-cathedralhill,hello@friendsofcathedralhill.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Cathedral Hill."
Cayuga,Cayuga Neighborhood Association,Association,https://example.org/cayuga-neighborhood,info@cayugacommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Cayuga."
Cayuga,Friends of Cayuga,Community Group,https://example.org/friends-of-cayuga,hello@friendsofcayuga.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Cayuga."
Central Waterfront,Central Waterfront Neighborhood Association,Association,https://example.org/centralwaterfront-neighborhood,info@centralwaterfrontcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Central Waterfront."
Central Waterfront,Friends of Central Waterfront,Community Group,https://example.org/friends-of-centralwaterfront,hello@friendsofcentralwaterfront.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Central Waterfront."
Chinatown,Chinatown Neighborhood Association,Association,https://example.org/chinatown-assoc,info@chinatownassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Chinatown."
Chinatown,Chinatown Merchants & Business Alliance,Business Group,https://example.org/chinatown-merchants,contact@chinatownmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Chinatown."
Chinatown,Chinatown Alleyway Improvement Association,Group,https://example.org/chinatownalleys,alleys@chinatownsf.org,"Revitalizing the historic alleyways of Chinatown through local murals, community seating, and street lighting projects."
Civic Center,Downtown Civic Center Neighborhood Association,Association,https://example.org/downtownciviccenter-assoc,info@downtownciviccenterassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Civic Center."
